Hora,Tratamientos,Datos,No_cel
3h,Control,1,43750
3h,DMSO,0.971428571,42500
3h,62.5 µM,0.6,26250
3h,125.0 µM,0.514285714,22500
3h,Control,1,43750
3h,DMSO,0.942857143,41250
3h,62.5 µM,0.628571429,27500
3h,125.0 µM,0.542857143,23750
3h,Control,1,41250
3h,DMSO,0.96969697,40000
3h,62.5 µM,0.606060606,25000
3h,125.0 µM,0.515151515,21250
6h,Control,1,52500
6h,DMSO,0.952380952,50000
6h,62.5 µM,0.547619048,28750
6h,125.0 µM,0.5,26250
6h,Control,1,50000
6h,DMSO,0.925,46250
6h,62.5 µM,0.575,28750
6h,125.0 µM,0.525,26250
6h,Control,1,58750
6h,DMSO,0.914893617,53750
6h,62.5 µM,0.510638298,30000
6h,125.0 µM,0.531914894,31250
12h,Control,1,62500
12h,DMSO,0.960784314,57500
12h,62.5 µM,0.529411765,30000
12h,125.0 µM,0.549019608,35000
12h,Control,1,61250
12h,DMSO,0.93877551,57500
12h,62.5 µM,0.551020408,33750
12h,125.0 µM,0.530612245,32500
12h,Control,1,63750
12h,DMSO,0.92,61250
12h,62.5 µM,0.48,33750
12h,125.0 µM,0.56,35000
24h,Control,1,81250
24h,DMSO,0.953846154,77500
24h,62.5 µM,0.492307692,40000
24h,125.0 µM,0.553846154,45000
24h,Control,1,83750
24h,DMSO,0.955223881,80000
24h,62.5 µM,0.492537313,41250
24h,125.0 µM,0.552238806,46250
24h,Control,1,82500
24h,DMSO,0.96969697,80000
24h,62.5 µM,0.484848485,40000
24h,125.0 µM,0.545454545,45000
